Quarter/Year,Revenues (US$mn),Revenues For Year (US$mn),Revenues (US$mn) [Constant currency],EBIT (US$mn),PAT (US$mn),Selling and Marketing Expense (US$mn),Other Income (US$mn),Income Tax (US$mn),S&M Expense/Revenue (%),Revenue (INRmn),EBITDA (INRmn),PAT (INRmn),Selling and Marketing Expense (INRmn),Other Income(INRmn),Income Tax(INRmn),Revenue from Manufacturing (%),"Revenue from Insurance, finance and banking (%)",Revenue from Telecom (%),Revenue from Retailing & CPG (%),Revenue from Other Verticals (%),Revenue from Life sciences (%),Revenue from Healthcare (%),Revenue from Application development (%),Revenue from Application maintenance (%),Revenue from Package implementation (%),Revenue from Testing services (%),Revenue from Product engineering services (%),Revenue from Business process management (%),Revenue from Infrastructure management (%),Revenue from Other services (%),"Revenue from Products, platforms and solutions (%)",Revenue from Products (%),Revenue from BPM platform (%),Revenue from Others (%),Revenue from New Services (%),Revenue from New Software(%),Services- Core,Services - Digital,Products-Core,Products-Digital,Revenue from North America (%),Revenue from Europe (%),Revenue from India (%),Revenue from Rest of the world(%),Project Type T&M (%),Project Type Fixed price (%),Staff utilisation (%) (including trainees),Revenue from Onsite (%),Revenue from Offshore (%),Revenue from Top client (%),Revenue from Top 5 clients (%),Revenue from top 10 clients (%),Number of clients,New Client Additions,Client Attrition,Client Attrition (%),New Client (%),US$1mn,US$5mn,US$10mn,US$25mn+,US$50mn,US$75mn+,US$100mn,US$200mn,US$300mn,Employee strength,Billable,Trainees,Product Group,Sales and Support,Sales and Support Staff (%),Gross Addition,lateral addition,Attrition,Net Addition,Net Addition (%),Consolidated Attrtion rate (%),Guidance min(US$mn),Guidance max(US$mn),Rupee Dollar Average,Seats Completed,Seats WIP,Land Aquired(acres),Result Announcement Date,Adjusted Stock Price at close (INR),Change in stock price (%),Revenue per employee (USD$K),Revenue per billable employee (USD$K),Attrition (%),New Additions (%),laterals in new additions (%),freshers in new additions (%),revenue in USD growth QoQ (%),revenue in INR growth QoQ (%),revenue in constant currency growth (%),Margin for USD(%),EPS (INR),EPS (USD),Cash (US$mn),Chief Officer
2QFY09,1216,,1236,361,320,68,15,56,5.59%,54180,17940,14320,3030,660,2510,20.1,33.4,19,12.1,15.4,0,0,20.6,22.1,28.8,7,2.1,6,5.9,3.9,3.6,3.6,0,0,,,,,,,61.5,28.1,1.3,9.1,65.9,34.1,69.4,47.3,52.7,7.6,18.6,28,586,40,21,3.70%,7.05%,325,151,94,34,20,20,5,1,1,100306,83412,8119,2093,6682,6.66%,10117,1736,4190,5927,6.28%,12.8,1215,1225,44.5,85025,19650,0,10-10-2008,306.3,-2.32,48.49,47.5,17.76%,42.88%,17.16%,82.84%,5.28%,11.71%,7.29%,26.32%,25.02,0.1498,1886,Gopalakrishnan
3QFY09,1171,,1228,373,332,55,7,48,4.70%,57860,20310,16410,2740,380,2410,19.6,34.9,16.7,12.6,16.2,0,0,20.8,21.7,29.1,6.5,2.1,5.7,6.5,3.4,4.2,4.2,0,0,,,,,,,64.5,25.5,1.2,8.8,63.7,36.3,68.5,45.8,54.2,6.2,17.3,27.2,583,30,33,5.63%,5.12%,323,150,102,37,20,18,4,1,1,103078,85918,7709,2283,7168,6.95%,5997,1388,3225,2772,2.76%,11.8,1175,1220,49.42,90470,14171,0,13-01-2009,307.04,5.9,45.44,44.46,12.86%,23.91%,23.14%,76.86%,-3.70%,6.79%,-0.65%,28.35%,28.63,0.1449,1948,Gopalakrishnan
4QFY09,1121,,1134,330,321,55,51,60,4.91%,56350,18910,16130,2700,2520,3020,20.8,33,16.7,13.5,16,0,0,19.2,21.7,29.1,6.3,2.6,6,7,4.1,4,4,0,0,,,,,,,64.6,24.3,1.6,9.5,61.7,38.3,67.6,46.2,53.8,5.7,17.2,26.8,579,37,41,7.03%,6.35%,327,151,101,39,20,17,4,1,1,104850,86306,8694,2349,7501,7.15%,4935,659,3163,1772,1.72%,11.1,1128,1170,50.24,95048,20756,0,15-04-2009,342.65,-2.74,42.77,41.83,12.27%,19.15%,13.35%,86.65%,-4.27%,-2.61%,-7.65%,28.64%,28.13,0.1606,2167,Gopalakrishnan
1QFY10,1122,4630,1100,338,313,53,55,80,4.72%,54720,18680,15270,2610,2690,3880,20.5,33,16.9,13.2,16.4,0,0,19.3,23.2,28.2,6.2,2.4,6.1,6.6,4,4,4,0,0,,,,,,,64.7,24.7,0.9,9.7,61.9,38.1,67,46.4,53.6,4.5,16.3,25.8,569,27,37,6.39%,4.66%,330,151,104,45,19,17,4,1,0,103905,88061,5609,2664,7571,7.29%,3538,390,4483,-945,-0.90%,11.1,1060,1080,48.82,95939,19340,8.35,10-07-2009,430.29,2.6,43.19,42.11,17.10%,13.50%,11.02%,88.98%,0.09%,-2.89%,-3.00%,27.90%,26.63,0.1352,2270,Gopalakrishnan
2QFY10,1154,4568,1136,350,317,57,49,82,4.94%,55850,19330,15400,2760,2360,3970,19.3,33.5,16.2,14.1,16.9,0,0,18.1,22.7,28.2,6.2,2.3,6.2,7.8,4.4,4.1,4.1,0,0,,,,,,,65.9,23.2,1.2,9.7,62,38,67.3,46,54,4.6,16.5,26.2,571,35,33,5.80%,6.15%,330,150,96,41,21,15,5,1,0,105453,87798,6996,2800,7859,7.45%,6069,1064,4521,1548,1.49%,10.9,1110,1130,48.39,106064,13442,149.11,09-10-2009,544.4,-1.5,43.77,42.64,17.40%,23.36%,17.53%,82.47%,2.85%,2.07%,3.27%,27.47%,26.83,0.1384,2208,Gopalakrishnan
3QFY10,1232,4629,1221,382,334,68,50,98,5.52%,57410,20380,15820,3140,2310,4550,19.3,34.6,16.2,13.1,16.8,0,0,17.8,24.5,27.4,6.5,2.4,5.9,7.1,4.5,3.9,3.9,0,0,,,,,,,66.6,21.9,1.2,10.3,61.7,38.3,68.8,46.1,53.9,4.7,17.6,27.5,568,32,35,6.13%,5.60%,336,152,93,41,22,16,6,2,0,109882,89086,10045,4345,6406,5.83%,8719,1420,4290,4429,4.20%,11.6,1155,1165,46.62,107331,13442,0,12-01-2010,646.74,3.91,44.85,43.14,16.27%,33.07%,16.29%,83.71%,6.76%,2.79%,7.48%,27.11%,27.72,0.1473,1972,Gopalakrishnan
4QFY10,1296,4804,1307,390,349,73,55,96,5.63%,59440,17890,16000,3330,2520,4410,20.2,34.8,15.3,13,16.7,0,0,16.8,22.8,30.5,6.6,1.8,6.2,7.2,3.1,5,5,0,0,,,,,,,66.1,22.5,1.4,10,60.5,39.5,69.3,46,54,4.6,15.8,25.8,575,47,40,7.04%,8.27%,338,159,97,41,26,18,6,1,0,113796,93254,8880,4730,6932,6.09%,9313,2041,5399,3914,3.56%,13.4,1240,1250,45.91,107331,13442,3.57,13-04-2010,695.48,3.68,45.56,43.74,19.65%,33.90%,21.92%,78.08%,5.19%,3.54%,7.04%,26.93%,28,0.136,2698,Gopalakrishnan
1QFY11,1358,5040,1374,384,326,74,53,111,5.45%,61980,17550,14880,3390,2390,5060,19.5,36.1,14.1,13.2,12.7,3.4,1,16.9,23.9,29.2,7.3,2.1,5.7,6.9,2.6,5.4,4.7,0,0.7,,,,,,,67.3,20.3,1.7,10.7,61,39,73,48,52,4.9,15.4,26.1,590,38,23,4.00%,6.61%,341,170,103,43,26,21,11,2,0,114822,95863,7603,5029,6327,5.51%,8859,2942,7833,1026,0.90%,15.8,1330,1340,45.58,110331,23725,202.35,13-07-2010,699.19,-3.42,47.31,45.32,27.53%,31.14%,33.21%,66.79%,4.78%,4.27%,5.13%,24.01%,26.05,0.1451,3011,Gopalakrishnan
2QFY11,1496,5382,1485,452,374,82,57,135,5.48%,69470,20980,17370,3800,2670,6280,18.9,35.4,13.3,14.4,14,3.1,0.9,15.6,23.5,31.5,7.6,2.5,5.6,6.2,3.3,4.2,4.2,0,0,,,,,,,65.8,21.8,2.1,10.3,60.1,39.9,74.3,50.2,49.8,4.7,15.8,26.7,592,27,25,4.24%,4.58%,337,173,113,48,27,23,10,2,0,122468,99667,11127,5178,6496,5.30%,14264,4138,6618,7646,6.66%,17.1,1413,1427,46.48,112931,21125,0,15-10-2010,769.08,-3.42,48.86,46.88,23.05%,49.69%,29.01%,70.99%,10.16%,12.08%,8.08%,25.00%,30.4,0.1564,3427,Gopalakrishnan
3QFY11,1585,5735,1566,479,397,88,65,147,5.55%,71060,21470,17800,3930,2900,6570,19.6,36.2,12.5,14.5,12.6,3.6,1,15.6,22.5,31.8,7.6,2.5,5.6,6,2.8,5.6,5.3,0,0.3,,,,,,,64.7,21.8,2.2,11.3,58.8,41.2,72.6,49.3,50.7,4.6,15.4,25.7,612,40,20,3.38%,6.76%,350,180,121,47,29,29,11,2,0,127779,103617,11806,5721,6635,5.19%,11067,5212,5756,5311,4.34%,17.5,1547,1562,44.83,114457,27319,5.41,13-01-2011,801.3,-5.1,49.62,47.49,18.80%,36.15%,47.09%,52.91%,5.95%,2.29%,5.45%,25.05%,31.14,0.1727,3314,Gopalakrishnan
